               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053946,            0.012897,            0.031299,             0.34818,                0.74,             0.60406,             0.23074,            0.042605,            0.007158,            0.021109,            0.009307,            0.009307,            0.009307
                  37,            0.056352,            0.015701,            0.029884,             0.49075,                0.76,             0.72879,             0.35081,            0.025894,           0.0078868,            0.020411,           0.0092872,           0.0092872,           0.0092872
                  38,            0.043808,            0.013339,            0.028185,             0.52962,             0.82104,             0.77241,             0.38732,            0.036887,            0.007011,            0.020836,           0.0092674,           0.0092674,           0.0092674
                  39,            0.046394,            0.014114,            0.029689,             0.48192,             0.66821,             0.56564,              0.2373,            0.038108,           0.0075202,            0.020314,           0.0092476,           0.0092476,           0.0092476
                  40,             0.05051,            0.011533,            0.027879,             0.37447,                0.96,             0.51149,             0.28667,            0.027552,           0.0064875,            0.019919,           0.0092278,           0.0092278,           0.0092278
                  41,            0.036276,            0.013399,            0.026795,              0.5212,                0.86,             0.69823,             0.34297,            0.029228,           0.0069684,            0.019727,            0.009208,            0.009208,            0.009208
                  42,            0.054438,            0.011748,            0.028453,             0.57532,                 0.9,             0.71577,             0.27735,            0.032459,           0.0062113,            0.019864,           0.0091882,           0.0091882,           0.0091882
                  43,            0.036888,            0.011846,            0.025575,             0.48675,             0.86517,             0.66703,             0.38563,            0.032623,            0.006695,            0.019432,           0.0091684,           0.0091684,           0.0091684
                  44,            0.055335,            0.013999,            0.030011,              0.4859,             0.88415,             0.64409,             0.30072,            0.022957,           0.0063204,            0.019332,           0.0091486,           0.0091486,           0.0091486
                  45,            0.042849,            0.013651,            0.028274,             0.45094,              0.8779,             0.62858,             0.21668,            0.040372,           0.0063781,            0.019526,           0.0091288,           0.0091288,           0.0091288
                  46,            0.050974,            0.013383,            0.027461,             0.62812,                0.92,              0.7739,             0.40068,             0.03397,           0.0063003,            0.019157,            0.009109,            0.009109,            0.009109
                  47,            0.050421,            0.013946,            0.027932,              0.6245,             0.83454,              0.8045,             0.33004,             0.03269,           0.0067894,            0.019037,           0.0090892,           0.0090892,           0.0090892
                  48,            0.049898,            0.012895,            0.026015,             0.63106,                0.92,              0.8837,             0.39197,            0.026277,           0.0061077,            0.019066,           0.0090694,           0.0090694,           0.0090694
                  49,            0.043557,            0.011753,            0.027221,             0.74923,             0.80346,             0.87568,             0.45692,            0.032969,           0.0060239,            0.018557,           0.0090496,           0.0090496,           0.0090496
                  50,            0.045472,            0.012402,            0.025848,             0.83739,             0.90705,              0.8992,              0.6054,            0.023378,           0.0061678,            0.018596,           0.0090298,           0.0090298,           0.0090298
                  51,            0.039675,            0.011252,            0.023315,             0.87984,                0.82,             0.94192,             0.65479,            0.026455,           0.0057181,            0.017662,             0.00901,             0.00901,             0.00901
                  52,            0.037419,            0.010256,            0.024396,             0.61322,                0.76,             0.82098,             0.53701,            0.030455,           0.0056077,            0.016401,           0.0089902,           0.0089902,           0.0089902
                  53,            0.040673,            0.010043,            0.022557,             0.72266,             0.86746,             0.84874,             0.58265,            0.023802,           0.0055461,            0.015794,           0.0089704,           0.0089704,           0.0089704
                  54,            0.038911,            0.012909,            0.023453,             0.63255,                 0.8,               0.842,             0.48098,            0.026726,           0.0058936,            0.015828,           0.0089506,           0.0089506,           0.0089506
                  55,            0.049234,            0.012173,            0.022572,             0.86914,             0.81429,             0.88784,             0.61849,            0.026313,           0.0054255,             0.01522,           0.0089308,           0.0089308,           0.0089308
                  56,            0.038562,            0.010083,            0.024285,             0.98076,             0.95738,             0.97011,             0.60205,             0.02636,           0.0055066,            0.013923,            0.008911,            0.008911,            0.008911
                  57,            0.039364,            0.011152,             0.02326,             0.83917,             0.91846,             0.89789,             0.33239,            0.027763,           0.0057736,            0.013304,           0.0088912,           0.0088912,           0.0088912
                  58,            0.048862,            0.012154,            0.022794,             0.96577,             0.96695,             0.97885,             0.67386,            0.018666,           0.0053435,            0.012665,           0.0088714,           0.0088714,           0.0088714
                  59,            0.037258,            0.012025,            0.022815,             0.39286,             0.83852,             0.55408,             0.26931,            0.030583,           0.0057811,            0.013268,           0.0088516,           0.0088516,           0.0088516
                  60,            0.042998,            0.013427,            0.022438,             0.91301,              0.9189,             0.97137,             0.64944,            0.021983,           0.0052342,            0.012237,           0.0088318,           0.0088318,           0.0088318
